value,confidence,x1,y1,x2,y2,tile_id,word_idx
STAMP:,0.9980121850967407,0.9384494357638888,0.7234700520833334,0.9493001302083334,0.7273356119791666,48,184
TTP/TLT,0.9980061650276184,0.9458279079861112,0.6193033854166666,0.9596625434027778,0.6243896484375,39,185
1.75,0.9979427456855774,0.703125,0.706787109375,0.7107204861111112,0.7124837239583334,46,186
TO,0.9978477954864502,0.06415473090277778,0.1043701171875,0.0686306423611111,0.10986328125,0,187
TO,0.9978306889533997,0.06415473090277778,0.206298828125,0.0686306423611111,0.2117919921875,10,188
THE,0.9977776408195496,0.052490234375,0.19938151041666666,0.05886501736111111,0.20426432291666666,10,189
TENDONS,0.9977478384971619,0.4885525173611111,0.7914225260416666,0.5036078559027778,0.7965087890625,44,190
BANDED,0.9977449178695679,0.7196723090277778,0.784912109375,0.732421875,0.7899983723958334,46,191
BANDED,0.9977293610572815,0.09358723958333333,0.17496744791666666,0.10633680555555555,0.1800537109375,0,192
1.75,0.9977117776870728,0.703125,0.7289632161458334,0.7107204861111112,0.7346598307291666,46,193
5.5,0.9976968169212341,0.5269368489583334,0.2842203776041667,0.533447265625,0.2909342447916667,15,194
(3),0.9976595640182495,0.4816351996527778,0.3025309244791667,0.4869249131944444,0.3102620442708333,14,195
1.75,0.9975492358207703,0.7040744357638888,0.6418863932291666,0.711669921875,0.6473795572916666,36,196
TENDON,0.9973694086074829,0.0783962673611111,0.1995849609375,0.09114583333333333,0.20406087239583334,0,197
TENDONS,0.9973209500312805,0.5723741319444444,0.7920328776041666,0.587158203125,0.7965087890625,45,198
HANGER,0.9972056746482849,0.1416015625,0.1434326171875,0.15462239583333334,0.14851888020833334,1,199
NSIONED,0.997186005115509,0.5221896701388888,0.931396484375,0.5540635850694444,0.9401448567708334,55,200
THAN,0.9971466660499573,0.16276041666666666,0.1849365234375,0.17103407118055555,0.18961588541666666,1,201
"EPOXY,",0.997126042842865,0.08246527777777778,0.11454264322916667,0.09385850694444445,0.11983235677083333,0,202
EXCESSIVE,0.9969678521156311,0.1144748263888889,0.09765625,0.1312934027777778,0.10213216145833333,1,203
4,0.9969570636749268,0.6722005208333334,0.487060546875,0.6742350260416666,0.4905192057291667,36,204
4/26/17,0.9968608617782593,0.9459635416666666,0.3279622395833333,0.9756673177083334,0.3401692708333333,19,205
BANDED,0.9968557357788086,0.5745442708333334,0.7851155598958334,0.5872938368055556,0.7902018229166666,55,206
THE,0.996819019317627,0.16276041666666666,0.16743977864583334,0.16927083333333334,0.17293294270833334,1,207
3.,0.9967867136001587,0.044623480902777776,0.07303873697916667,0.048014322916666664,0.07832845052083333,0,208
NOTES.,0.9967796206474304,0.1015896267361111,0.24088541666666666,0.11271158854166667,0.245361328125,10,209
PLACING,0.9967595934867859,0.07080078125,0.20670572916666666,0.08409288194444445,0.211181640625,10,210
THAN,0.9967162609100342,0.06903754340277778,0.09765625,0.07703993055555555,0.10233561197916667,0,211
"INSERTS,",0.9967117309570312,0.1567925347222222,0.14363606770833334,0.17103407118055555,0.14872233072916666,1,212
BUILDING,0.9966891407966614,0.1357693142361111,0.12898763020833334,0.15028211805555555,0.13407389322916666,1,213
8.,0.9966763257980347,0.044487847222222224,0.22318522135416666,0.048149956597222224,0.22908528645833334,10,214
NOTES,0.9964450001716614,0.10606553819444445,0.0311279296875,0.12030707465277778,0.037027994791666664,1,215
E.1,0.9962561130523682,0.8368598090277778,0.6648763020833334,0.8528645833333334,0.6756591796875,37,216
16',0.9961735606193542,0.6201171875,0.9537760416666666,0.6255425347222222,0.9598795572916666,55,217
FIRE,0.9961507320404053,0.09412977430555555,0.13631184895833334,0.10118272569444445,0.14119466145833334,0,218
PERMITTED.,0.9961308240890503,0.1052517361111111,0.12898763020833334,0.12342664930555555,0.13407389322916666,0,219
